id	T4A	T4B	T4C
GO:0000014	0.0528417	0.212081	0.0406378
GO:0000030	17.4859	20.2827	22.4856
GO:0000034	0.308642	0.103349	0.0508594
GO:0000036	557.491	408.492	537.892
GO:0000049	2207.09	2185.47	2383.93
GO:0000062	1e-05	1e-05	1e-05
GO:0000104	0.0973401	0.260999	0.299411
GO:0000107	51.9861	65.3597	59.3043
GO:0000150	17.1905	20.0455	19.3377
GO:0000155	267.332	298.096	305.795
GO:0000156	83.8827	82.5069	86.9172
GO:0000166	472.773	507.807	533.263
GO:0000175	97.4708	103.215	96.6615
GO:0000179	19.7291	19.6073	19.3102
GO:0000213	1e-05	0.0597915	0.411078
GO:0000286	0.0743471	0.124727	1e-05
GO:0000287	2674.32	2775.35	2903.56
GO:0000309	0.235621	0.109621	1e-05
GO:0000703	1e-05	1e-05	1e-05
GO:0000774	75.7606	58.7978	40.7071
GO:0000906	139.034	158.846	220.182
GO:0000908	1e-05	1e-05	1e-05
GO:0000986	0.181971	1e-05	1e-05
GO:0000987	1e-05	1e-05	1e-05
GO:0001046	1e-05	1e-05	1e-05
GO:0001047	1e-05	1e-05	1e-05
GO:0001071	1e-05	1e-05	1e-05
GO:0001141	0.0693346	1e-05	1e-05
GO:0001671	1e-05	1e-05	1e-05
GO:0001727	1e-05	1e-05	1e-05
GO:0002161	215.155	249.055	240.741
GO:0002935	33.2572	31.5624	33.2804
GO:0003676	1797.61	1624.62	1956.97
GO:0003677	13105.3	10927.4	11238.7
GO:0003678	49.3182	62.6454	68.6089
GO:0003684	340.72	326.323	323.345
GO:0003688	28.9412	31.0386	24.5391
GO:0003689	0.179513	1e-05	0.199036
GO:0003690	162.839	126.758	127.157
GO:0003697	709.364	793.898	867.273
GO:0003700	2758.4	2382.33	2457.29
GO:0003723	4191.3	3956.09	4052.01
GO:0003725	59.8513	52.1039	49.7842
GO:0003729	151.556	219.958	231.6
GO:0003735	37654.3	33481.8	34605.5
GO:0003743	615.502	534.449	537.462
GO:0003746	2119.63	2178.25	2270.08
GO:0003755	343.008	311.732	349.05
GO:0003756	1e-05	1e-05	1e-05
GO:0003774	330.471	413.752	457.11
GO:0003796	0.0966933	1e-05	1e-05
GO:0003824	2406.11	2502.15	2668.6
GO:0003825	0.0482173	1e-05	0.0741876
GO:0003839	0.915255	0.477746	1.48547
GO:0003840	1e-05	1e-05	1e-05
GO:0003841	121.998	110.111	116.149
GO:0003842	4.34188	3.206	2.55001
GO:0003844	28.5431	28.2393	25.4212
GO:0003848	25.2294	24.0066	32.4157
GO:0003849	55.465	45.198	51.4121
GO:0003852	33.2226	40.8152	51.4319
GO:0003855	19.5741	16.335	17.0606
GO:0003856	30.753	42.1504	61.6524
GO:0003857	0.0158461	1e-05	1e-05
GO:0003861	61.9517	109.228	155.069
GO:0003862	32.7794	42.2949	56.3702
GO:0003863	1.69925	3.02157	3.46147
GO:0003864	29.5198	29.2347	24.7533
GO:0003866	140.053	144.795	144.925
GO:0003867	1e-05	1e-05	1e-05
GO:0003871	0.238726	0.0837516	0.0640157
GO:0003872	447.485	655.397	632.778
GO:0003879	1.29614	1.15314	4.46076
GO:0003882	1e-05	1e-05	1e-05
GO:0003883	66.9073	86.6934	76.3557
GO:0003886	1e-05	1e-05	1e-05
GO:0003887	374.082	360.568	367.603
GO:0003896	163.844	154.94	174.967
GO:0003899	520.565	573.32	620.194
GO:0003904	1e-05	0.0730737	1e-05
GO:0003906	180.632	116.585	112.263
GO:0003908	5.54017	3.04457	5.81001
GO:0003909	1e-05	1e-05	1e-05
GO:0003910	0.126316	0.0847716	0.145714
GO:0003911	29.0036	27.3688	25.2956
GO:0003917	62.5986	68.563	66.8139
GO:0003918	136.825	141.39	149.002
GO:0003919	49.7851	46.7158	53.9423
GO:0003922	84.3984	105.863	109.841
GO:0003924	1667.25	1842.85	2022.53
GO:0003933	0.801358	0.671163	0.614964
GO:0003934	84.8721	80.2505	81.2648
GO:0003935	26.5774	30.5943	36.0382
GO:0003937	16.8718	28.0121	36.5795
GO:0003938	125.963	159.396	142.423
GO:0003939	38.7121	23.4366	21.2411
GO:0003941	1e-05	1e-05	1e-05
GO:0003942	31.0709	30.8451	34.818
GO:0003949	46.7054	53.322	56.8811
GO:0003951	161.323	128.384	124.413
GO:0003952	58.1782	61.0458	57.6419
GO:0003954	31.5373	21.1058	15.0276
GO:0003957	0.0517099	1e-05	1e-05
GO:0003960	1e-05	1e-05	1e-05
GO:0003961	19.0933	26.6286	35.8223
GO:0003962	1e-05	1e-05	1e-05
GO:0003963	0.112022	0.175555	0.345421
GO:0003977	104.702	129.738	131.475
GO:0003978	57.7405	55.1477	47.0642
GO:0003979	28.7812	27.1053	29.3526
GO:0003983	50.4016	36.3595	40.7912
GO:0003984	134.24	186.901	226.939
GO:0003985	1.57853	2.2474	2.25821
GO:0003987	0.431271	1e-05	0.461639
GO:0003988	0.0626728	1e-05	1e-05
GO:0003989	56.9319	85.102	99.6685
GO:0003991	6.24664	5.11625	12.1275
GO:0003992	6.43101	7.58762	18.3242
GO:0003993	73.7884	58.2092	67.0532
GO:0003994	26.7353	26.7358	26.4564
GO:0003995	0.315563	1e-05	1e-05
GO:0003999	109.704	105.061	100.811
GO:0004000	1e-05	1e-05	1e-05
GO:0004003	111.02	101.29	105.668
GO:0004004	0.1496	1e-05	1e-05
GO:0004008	6.52706	3.93105	2.63258
GO:0004013	89.4905	115.536	107.921
GO:0004014	1032.77	738.062	727.63
GO:0004015	0.501964	0.726831	0.710987
GO:0004016	0.0269706	1e-05	1e-05
GO:0004017	57.0135	64.3065	99.7536
GO:0004018	55.8304	53.1651	57.9401
GO:0004019	103.879	129.331	112.152
GO:0004020	41.2491	53.4032	73.8219
GO:0004021	1e-05	1e-05	1e-05
GO:0004022	34.2944	65.9282	72.5495
GO:0004029	4.34188	3.206	2.55001
GO:0004030	7.20601	6.99288	7.42607
GO:0004033	0.114189	1e-05	1e-05
GO:0004034	1e-05	1e-05	1e-05
GO:0004038	0.0947853	1e-05	1e-05
GO:0004040	0.0478939	0.144693	0.0826185
GO:0004042	11.9995	12.9854	15.0146
GO:0004044	15.4024	20.3495	15.1093
GO:0004045	21.9274	22.0775	21.2001
GO:0004047	46.7561	80.3797	65.8005
GO:0004048	67.108	64.4137	96.97
GO:0004049	92.2143	39.9968	51.5684
GO:0004055	8.54216	6.41909	15.2995
GO:0004056	6.69098	7.671	13.0639
GO:0004061	8.93229	10.8371	11.7272
GO:0004065	1e-05	1e-05	1e-05
GO:0004066	0.58155	0.239665	0.441022
GO:0004067	14.2585	8.85206	4.86452
GO:0004068	53.1722	50.9581	55.2408
GO:0004069	91.9904	63.9703	59.485
GO:0004070	16.1536	12.5279	10.3553
GO:0004071	42.8385	51.4781	51.3344
GO:0004072	48.8094	53.2435	57.2145
GO:0004073	25.8035	25.7057	21.4539
GO:0004075	0.346511	0.130934	0.262579
GO:0004076	1.82951	0.879272	0.64155
GO:0004077	71.541	89.5301	77.3808
GO:0004088	27.3906	32.6151	32.7295
GO:0004089	0.848346	0.113919	0.392003
GO:0004096	1e-05	1e-05	1e-05
GO:0004106	0.432759	0.420168	1e-05
GO:0004107	73.5215	57.087	71.8463
GO:0004108	1e-05	1e-05	1e-05
GO:0004109	8.56095	10.8358	9.71208
GO:0004112	1e-05	1e-05	1e-05
GO:0004113	39.7342	30.2323	35.4765
GO:0004121	1e-05	1e-05	1e-05
GO:0004124	1106.34	1283.43	1458.96
GO:0004125	17.0092	14.8082	13.3391
GO:0004126	59.8113	56.106	58.5388
